FlightDate,Origin,DepDelay,ArrDelay,CRSElapsedTime,ActualElapsedTime
1994-06-23,SLC,8,9,122,123
1994-06-24,SLC,8,9,123,125
1994-06-25,SLC,4,2,124,122
1994-06-26,SLC,6,6,121,122
1994-06-27,SLC,8,5,123,120
1994-06-28,SLC,3,2,121,121
1994-06-29,SLC,13,14,122,123
1994-06-30,SLC,10,10,123,123
1994-07-01,SLC,8,10,121,123
1994-07-02,SLC,4,5,123,124
1994-07-03,SLC,2,0,123,122
1994-07-04,SLC,2,2,123,122
1994-07-05,SLC,18,22,119,123
1994-07-06,SLC,5,5,124,124
1994-07-07,SLC,7,10,123,126
1994-07-08,SLC,6,8,120,122
1994-07-09,SLC,7,8,123,123
1994-07-10,SLC,8,8,121,122
1994-07-11,SLC,4,6,122,123
1994-07-12,SLC,7,10,122,125
1994-07-13,SLC,7,8,122,123
1994-07-14,SLC,9,10,122,123
1994-07-15,SLC,7,10,123,126
1994-07-16,SLC,6,4,123,121
1994-07-17,SLC,9,8,123,122
1994-07-18,SLC,10,11,122,123
1994-07-19,SLC,4,5,123,123
1994-07-20,SLC,6,7,121,122
1994-07-21,SLC,6,7,122,123
1994-07-22,SLC,7,9,122,124
1994-07-23,SLC,10,9,122,121
1994-07-24,SLC,9,8,122,121
1994-07-25,SLC,6,3,122,119
1994-07-26,SLC,6,5,124,123
1994-07-27,SLC,7,10,122,124
1994-07-28,SLC,8,10,123,125
1994-07-29,SLC,8,9,122,123
1994-07-30,SLC,8,8,123,123
1994-07-31,SLC,6,7,122,123
1994-08-01,SLC,8,10,123,126
1994-08-02,SLC,9,10,123,124
1994-08-03,SLC,6,6,122,122
1994-08-04,SLC,6,8,121,123
1994-08-05,SLC,10,11,123,124
1994-08-06,SLC,8,5,120,118
1994-08-07,SLC,7,9,121,123
1994-08-08,SLC,5,7,122,124
1994-08-09,SLC,3,7,121,125
1994-08-10,SLC,4,8,122,126
1994-08-11,SLC,7,6,123,123
1994-08-12,SLC,5,6,122,124
1994-08-13,SLC,10,9,123,122
1994-08-14,SLC,7,6,120,119
1994-08-15,SLC,4,3,120,119
1994-08-16,SLC,5,5,123,123
1994-08-17,SLC,6,4,123,121
1994-08-18,SLC,8,8,121,121
1994-08-19,SLC,5,5,122,122
1994-08-20,SLC,5,7,122,124
1994-08-21,SLC,7,5,123,121
1994-08-22,SLC,4,5,122,122
1994-08-23,SLC,5,4,123,122
1994-08-24,SLC,8,8,122,122
1994-08-25,SLC,5,5,123,122
1994-08-26,SLC,3,3,123,123
1994-08-27,SLC,4,3,122,121
1994-08-28,SLC,4,3,122,122
1994-08-29,SLC,2,0,122,120
1994-08-30,SLC,2,0,122,120
1994-08-31,SLC,6,7,122,123
1994-09-01,SLC,9,9,124,123
1994-09-02,SLC,6,6,124,124
1994-09-03,SLC,1,-2,125,121
1994-09-04,SLC,0,-5,125,119
1994-09-05,SLC,1,-1,121,117
1994-09-06,SLC,3,3,122,122
1994-09-07,SLC,2,2,122,123
1994-09-08,SLC,6,7,122,123
1994-09-09,SLC,3,4,122,123
1994-09-10,SLC,2,3,123,123
1994-09-11,SLC,4,4,122,122
1994-09-12,SLC,2,7,119,123
1994-09-13,SLC,5,8,119,122
1994-09-14,SLC,8,12,122,126
1994-09-15,SLC,3,5,119,121
1994-09-16,SLC,3,5,120,122
1994-09-17,SLC,3,4,120,120
1994-09-18,SLC,5,7,121,123
1994-09-19,SLC,3,5,120,123
1994-09-20,SLC,1,1,118,118
1994-09-21,SLC,3,3,118,119
1994-09-22,SLC,3,7,119,122
1994-09-23,SLC,4,8,119,123
1994-09-24,SLC,1,4,119,122
1994-09-25,SLC,3,7,119,123
1994-09-26,SLC,3,4,119,121
1994-09-27,SLC,2,4,119,120
1994-09-28,SLC,5,7,118,121
1994-09-29,SLC,3,5,118,120
1994-09-30,SLC,4,7,120,123
1994-10-01,SLC,1,3,120,122
1994-10-02,SLC,5,6,120,121
1994-10-03,SLC,4,8,118,122
1994-10-04,SLC,4,7,118,121
1994-10-05,SLC,7,11,116,121
1994-10-06,SLC,4,7,117,120
1994-10-07,SLC,8,8,118,118
1994-10-08,SLC,3,1,118,116
1994-10-09,SLC,2,0,117,115
1994-10-10,SLC,1,0,117,117
1994-10-11,SLC,0,1,117,118
1994-10-12,SLC,1,3,117,119
1994-10-13,SLC,2,4,117,119
1994-10-14,SLC,8,12,117,121
1994-10-15,SLC,8,11,117,120
1994-10-16,SLC,7,5,116,114
1994-10-17,SLC,4,4,118,118
1994-10-18,SLC,9,8,115,115
1994-10-19,SLC,2,1,116,115
1994-10-20,SLC,6,6,117,117
1994-10-21,SLC,6,5,117,116
1994-10-22,SLC,3,0,117,113
1994-10-23,SLC,5,1,118,113
1994-10-24,SLC,8,4,117,114
1994-10-25,SLC,2,3,117,118
1994-10-26,SLC,1,2,118,118
1994-10-27,SLC,2,3,118,119
1994-10-28,SLC,2,2,118,118
1994-10-29,SLC,2,-1,117,114
1994-10-30,SLC,3,1,117,115
1994-10-31,SLC,5,4,118,116
